code,final_lo,final_hi,source
000000500010,30.0,150.0,MHLW
000000800047,1.47988,71.88883250000072,statistical
000000800051,6.4,21.217100000000208,statistical
000001000002,1.0299200000000013,416.611679999973,statistical
000000800050,4.2,14.898789999999826,statistical
000000300008,0.0,9.99,statistical
000000300015,0.670605,53.329395000007935,statistical
000000800033,0.5,33.0,statistical
000000800217,4.0,833.3470000000075,statistical
000000500074,0.0,1027.3477750000166,statistical
000000800097,13.1983425,44.262566000013614,statistical
000000300014,3.603531,44.0,statistical
000000800028,0.717184,8681.219599999691,statistical
000000800083,0.4,13.675257499999134,statistical
000000800096,41.204288,131.21127999991586,statistical
000000800129,0.0,73.1231949996145,statistical
000000300002,0.0,9.949774949997082,statistical
000000800024,2.6880292000000003,1137.0840999989305,statistical
000000800093,0.0,10.0,MHLW
000000300011,0.0,12.867374999943422,statistical
000000200009,40.0,250.0,MHLW
000003010002,0.0,82.91299999997136,statistical
000000800098,22.870341,39.50905400000047,statistical
000000800015,0.26392,7.936079999999492,statistical
000000800057,0.0,1000.0,statistical
000000300004,0.0,9.976839299998828,statistical
000000800424,3.0,20.0,MHLW
000000800027,0.0,1000.0,MHLW
000000600029,1.1503,983.9149000000008,statistical
000000200001,100.0,250.0,MHLW
000000500009,60.0,300.0,MHLW
000000800429,20.0,1000.0,MHLW
000000900003,0.003,4400.0,statistical
000000800099,1.948185,519.7028749978926,statistical
000000300005,0.0,9.99,statistical
000000300007,0.0,9.9440761499996,statistical
000000500073,5.0,9.0,statistical
000000800095,0.0,99.9,MHLW
000000300003,0.09,2.0,statistical
000000800008,20.0,1000.0,MHLW
000000800092,0.40231935,14388.335600000572,statistical
000000800052,3.70344,29.091399999999886,statistical
000000400021,-40.0,90.0,statistical
000000300010,0.0,9.99,statistical
000000800032,0.1,35.433779999999025,statistical
000000800049,1.30122,10.495119999999588,statistical
000000800005,10.0,500.0,MHLW
000000800094,0.0,30.0,MHLW
000000900009,2.10402,4485.979999999981,statistical
000000800081,0.1,20.0,MHLW
000000300009,0.1,1.5,statistical
000000800335,14.0,366.14719999981753,statistical
000000800159,0.0,14.838192000001436,statistical
000000800007,22.4217,1159.8010000000086,statistical
000000800149,31.3417,483.0,statistical
000000400019,-30.0,90.0,statistical
000000800026,0.0,1000.0,MHLW
000000800426,1.0,500.0,MHLW
000000400026,-30.0,96.09749999998166,statistical
000000300012,0.0,1.5,statistical
000000900004,6.416680000000005,112.7376799999969,statistical
000000800029,0.0,1000.0,MHLW
000000200002,20.0,250.0,MHLW
000000800030,0.0,2492.0,statistical
000000300006,0.0,2.0,statistical
000000900001,0.0,5165.2839999998105,statistical
000000800055,0.0,21067.87039998737,statistical
000000300001,0.0,11.10125864995178,statistical
000000800150,28.6856,502.3447999998025,statistical
000000800046,4.5720895,12.909303499999806,statistical
000000800006,15.0,5250.227449991857,statistical
000000800036,0.0,2.0727399999997944,statistical
000001100002,3.5355600000000003,162.30766000028234,statistical
000000800082,0.7212404000000001,89.05061500002921,statistical
000000800031,26.0,2352.690000000448,statistical
000000200006,10.0,99.9,MHLW
000000800023,0.089679,22.011081000175903,statistical
000000800131,0.0,791.7298999999548,statistical
000000800155,20.0,600.0,MHLW
000000900002,48.3066,171.07887999997473,statistical
000000800146,20.0,1000.0,MHLW
000000900012,1.17616,6413.34399999796,statistical
000000800025,11.6975075,2266.6515000000363,statistical
000000800035,24.0,296.9618999999657,statistical
000000800004,73.0356,581.8251999999047,statistical
000000400028,-40.0,97.73239999997897,statistical
000003010003,0.0,60.0,statistical
000000200105,1.8,501.8682799998904,statistical
000000800048,48.711850000000005,74.59762999999984,statistical
000000800053,0.0,25.397362999906186,statistical
